date,season,home_team,away_team,home_score,away_score,home_moneyline,away_moneyline,home_odds,away_odds,home_win
2021-10-12,2021-22,TBL,PIT,2,6,-250.0,220.0,1.4,3.2,0
2021-10-12,2021-22,VGK,SEA,4,3,-230.0,205.0,1.435,3.05,1
2021-10-13,2021-22,WSH,NYR,5,1,-108.0,-102.0,1.926,1.98,1
2021-10-13,2021-22,TOR,MTL,2,1,-196.0,176.0,1.51,2.76,1
2021-10-13,2021-22,EDM,VAN,3,2,-198.0,178.0,1.505,2.78,1
2021-10-13,2021-22,COL,CHI,4,2,-185.0,165.0,1.541,2.65,1
2021-10-13,2021-22,ANA,WPG,4,1,132.0,-145.0,2.32,1.69,1
2021-10-14,2021-22,LAK,VGK,6,2,143.0,-158.0,2.43,1.633,1
2021-10-14,2021-22,NSH,SEA,3,4,-126.0,116.0,1.794,2.16,0
2021-10-14,2021-22,DET,TBL,6,7,185.0,-205.0,2.85,1.488,0
2021-10-14,2021-22,NYR,DAL,2,3,-132.0,122.0,1.758,2.22,0
2021-10-14,2021-22,CBJ,ARI,8,2,-160.0,145.0,1.625,2.45,1
2021-10-14,2021-22,FLA,PIT,5,4,-175.0,157.0,1.571,2.57,1
2021-10-14,2021-22,BUF,MTL,5,1,132.0,-145.0,2.32,1.69,1
2021-10-14,2021-22,OTT,TOR,3,2,155.0,-170.0,2.55,1.588,1
2021-10-14,2021-22,CAR,NYI,6,3,-125.0,115.0,1.8,2.15,1
2021-10-15,2021-22,NJD,CHI,4,3,-131.0,121.0,1.763,2.21,1
2021-10-15,2021-22,PHI,VAN,4,5,-134.0,124.0,1.746,2.24,0
2021-10-15,2021-22,ANA,MIN,1,2,155.0,-170.0,2.55,1.588,0
2021-10-16,2021-22,BOS,DAL,3,1,-180.0,160.0,1.556,2.6,1
2021-10-16,2021-22,EDM,CGY,5,2,-150.0,135.0,1.667,2.35,1
2021-10-16,2021-22,COL,STL,3,5,-140.0,130.0,1.714,2.3,0
2021-10-16,2021-22,NSH,CAR,2,3,103.0,-113.0,2.03,1.885,0
2021-10-16,2021-22,DET,VAN,3,1,110.0,-120.0,2.1,1.833,1
2021-10-16,2021-22,PIT,CHI,5,2,-130.0,120.0,1.769,2.2,1
2021-10-16,2021-22,MTL,NYR,1,3,-105.0,-105.0,1.952,1.952,0
2021-10-16,2021-22,CBJ,SEA,2,1,105.0,-115.0,2.05,1.87,1
2021-10-16,2021-22,SJS,WPG,4,3,120.0,-130.0,2.2,1.769,1
2021-10-16,2021-22,WSH,TBL,1,2,109.0,-119.0,2.09,1.84,0
2021-10-16,2021-22,FLA,NYI,5,1,-131.0,121.0,1.763,2.21,1
2021-10-16,2021-22,BUF,ARI,2,1,-120.0,110.0,1.833,2.1,1
2021-10-16,2021-22,TOR,OTT,3,1,-250.0,220.0,1.4,3.2,1
2021-10-16,2021-22,LAK,MIN,2,3,104.0,-114.0,2.04,1.877,0
2021-10-17,2021-22,OTT,DAL,3,2,125.0,-135.0,2.25,1.741,1
2021-10-18,2021-22,CGY,ANA,2,3,-190.0,170.0,1.526,2.7,0
2021-10-18,2021-22,ARI,STL,4,7,158.0,-176.0,2.58,1.568,0
2021-10-18,2021-22,TOR,NYR,1,2,-180.0,160.0,1.556,2.6,0
2021-10-18,2021-22,PHI,SEA,6,1,-133.0,123.0,1.752,2.23,1
2021-10-19,2021-22,EDM,ANA,6,5,-280.0,245.0,1.357,3.45,1
2021-10-19,2021-22,CHI,NYI,1,4,102.0,-112.0,2.02,1.893,0
2021-10-19,2021-22,NSH,LAK,2,1,-130.0,120.0,1.769,2.2,1
2021-10-19,2021-22,DET,CBJ,4,1,-120.0,110.0,1.833,2.1,1
2021-10-19,2021-22,WSH,COL,6,3,113.0,-123.0,2.13,1.813,1
2021-10-19,2021-22,MIN,WPG,6,5,-150.0,135.0,1.667,2.35,1
2021-10-19,2021-22,BUF,VAN,5,2,136.0,-151.0,2.36,1.662,1
2021-10-19,2021-22,NJD,SEA,4,2,-145.0,132.0,1.69,2.32,1
2021-10-19,2021-22,MTL,SJS,0,5,-155.0,140.0,1.645,2.4,0
2021-10-19,2021-22,PIT,DAL,1,2,-123.0,113.0,1.813,2.13,0
2021-10-19,2021-22,TBL,FLA,1,4,-110.0,100.0,1.909,2.0,0
2021-10-20,2021-22,PHI,BOS,6,3,122.0,-132.0,2.22,1.758,1
2021-10-20,2021-22,VGK,STL,1,3,-120.0,110.0,1.833,2.1,0
2021-10-21,2021-22,NSH,NYR,1,3,-115.0,105.0,1.87,2.05,0
2021-10-21,2021-22,CHI,VAN,1,4,-126.0,116.0,1.794,2.16,0
2021-10-21,2021-22,WPG,ANA,5,1,-170.0,155.0,1.588,2.55,1
2021-10-21,2021-22,DET,CGY,0,3,119.0,-129.0,2.19,1.775,0
2021-10-21,2021-22,ARI,EDM,1,5,180.0,-200.0,2.8,1.5,0
2021-10-21,2021-22,OTT,SJS,1,2,100.0,-110.0,2.0,1.909,0
2021-10-21,2021-22,FLA,COL,4,1,-123.0,113.0,1.813,2.13,1
2021-10-21,2021-22,NJD,WSH,1,4,119.0,-129.0,2.19,1.775,0
2021-10-21,2021-22,CBJ,NYI,3,2,131.0,-142.0,2.31,1.704,1
2021-10-21,2021-22,MTL,CAR,1,4,116.0,-126.0,2.16,1.794,0
2021-10-22,2021-22,VGK,EDM,3,5,-122.0,112.0,1.82,2.12,0
2021-10-22,2021-22,DAL,LAK,3,2,-155.0,140.0,1.645,2.4,1
2021-10-22,2021-22,BUF,BOS,1,4,200.0,-220.0,3.0,1.455,0
2021-10-22,2021-22,TOR,SJS,3,5,-240.0,210.0,1.417,3.1,0
2021-10-23,2021-22,MTL,DET,6,1,-165.0,150.0,1.606,2.5,1
2021-10-23,2021-22,SEA,VAN,2,4,-134.0,124.0,1.746,2.24,0
2021-10-23,2021-22,ARI,NYI,0,3,175.0,-195.0,2.75,1.513,0
2021-10-23,2021-22,STL,LAK,7,3,-165.0,150.0,1.606,2.5,1
2021-10-23,2021-22,NJD,BUF,2,1,-180.0,160.0,1.556,2.6,1
2021-10-23,2021-22,PHI,FLA,2,4,130.0,-140.0,2.3,1.714,0
2021-10-23,2021-22,WPG,NSH,6,4,-124.0,114.0,1.806,2.14,1
