date,season,home_team,away_team,home_score,away_score,home_moneyline,away_moneyline,home_odds,away_odds,home_win
2011-10-06,2011-12,BOS,PHI,1,2,-130.0,110.0,1.769,2.1,0
2011-10-06,2011-12,TOR,MTL,2,0,-105.0,-115.0,1.952,1.87,1
2011-10-06,2011-12,VAN,PIT,3,4,-150.0,130.0,1.667,2.3,0
2011-10-07,2011-12,BUF,ANA,4,1,-135.0,115.0,1.741,2.15,1
2011-10-07,2011-12,LAK,NYR,3,2,-120.0,100.0,1.833,2.0,1
2011-10-07,2011-12,DET,OTT,5,3,-230.0,190.0,1.435,2.9,1
2011-10-07,2011-12,CAR,TBL,1,5,-105.0,-115.0,1.952,1.87,0
2011-10-07,2011-12,CBJ,NSH,2,3,-120.0,100.0,1.833,2.0,0
2011-10-07,2011-12,DAL,CHI,2,1,110.0,-130.0,2.1,1.769,1
2011-10-08,2011-12,SJS,ARI,6,3,-200.0,170.0,1.5,2.7,1
2011-10-08,2011-12,CGY,PIT,3,5,-115.0,-105.0,1.87,1.952,0
2011-10-08,2011-12,COL,DET,0,3,120.0,-140.0,2.2,1.714,0
2011-10-08,2011-12,CHI,DAL,5,2,-180.0,160.0,1.556,2.6,1
2011-10-08,2011-12,MIN,CBJ,4,2,-135.0,115.0,1.741,2.15,1
2011-10-08,2011-12,STL,NSH,2,4,-145.0,125.0,1.69,2.25,0
2011-10-08,2011-12,NJD,PHI,0,3,-105.0,-115.0,1.952,1.87,0
2011-10-08,2011-12,WSH,CAR,4,3,-200.0,170.0,1.5,2.7,1
2011-10-08,2011-12,BOS,TBL,4,1,-145.0,125.0,1.69,2.25,1
2011-10-08,2011-12,TOR,OTT,6,5,-155.0,135.0,1.645,2.35,1
2011-10-08,2011-12,LAK,BUF,2,4,-110.0,-110.0,1.909,1.909,0
2011-10-08,2011-12,ANA,NYR,2,1,120.0,-140.0,2.2,1.714,1
2011-10-08,2011-12,NYI,FLA,0,2,-130.0,110.0,1.769,2.1,0
2011-10-09,2011-12,WPG,MTL,1,5,-115.0,-105.0,1.87,1.952,0
2011-10-09,2011-12,EDM,PIT,2,1,110.0,-130.0,2.1,1.769,1
2011-10-10,2011-12,CBJ,VAN,2,3,125.0,-145.0,2.25,1.69,0
2011-10-10,2011-12,WSH,TBL,6,5,-155.0,135.0,1.645,2.35,1
2011-10-10,2011-12,DAL,ARI,2,1,-130.0,110.0,1.769,2.1,1
2011-10-10,2011-12,STL,CGY,5,2,-150.0,130.0,1.667,2.3,1
2011-10-10,2011-12,NYI,MIN,2,1,-120.0,100.0,1.833,2.0,1
2011-10-10,2011-12,NJD,CAR,4,2,-125.0,105.0,1.8,2.05,1
2011-10-10,2011-12,BOS,COL,0,1,-220.0,190.0,1.455,2.9,0
2011-10-11,2011-12,PIT,FLA,4,2,-160.0,140.0,1.625,2.4,1
2011-10-11,2011-12,OTT,MIN,4,3,-135.0,115.0,1.741,2.15,1
2011-10-12,2011-12,CBJ,COL,2,3,-135.0,115.0,1.741,2.15,0
2011-10-12,2011-12,PHI,VAN,5,4,-135.0,115.0,1.741,2.15,1
2011-10-12,2011-12,CAR,BOS,3,2,115.0,-135.0,2.15,1.741,1
2011-10-13,2011-12,DAL,STL,3,2,100.0,-120.0,2.0,1.833,1
2011-10-13,2011-12,CHI,WPG,4,3,-210.0,180.0,1.476,2.8,1
2011-10-13,2011-12,MIN,EDM,2,1,-155.0,135.0,1.645,2.35,1
2011-10-13,2011-12,NSH,ARI,2,5,-135.0,115.0,1.741,2.15,0
2011-10-13,2011-12,DET,VAN,2,0,-145.0,125.0,1.69,2.25,1
2011-10-13,2011-12,MTL,CGY,1,4,-135.0,115.0,1.741,2.15,0
2011-10-13,2011-12,PIT,WSH,2,3,100.0,-120.0,2.0,1.833,0
2011-10-13,2011-12,NJD,LAK,2,1,-110.0,-110.0,1.909,1.909,1
2011-10-13,2011-12,NYI,TBL,5,1,-105.0,-115.0,1.952,1.87,1
2011-10-13,2011-12,OTT,COL,1,7,-150.0,130.0,1.667,2.3,0
2011-10-14,2011-12,BUF,CAR,3,4,-190.0,170.0,1.526,2.7,0
2011-10-14,2011-12,ANA,SJS,1,0,115.0,-135.0,2.15,1.741,1
2011-10-15,2011-12,NSH,NJD,2,3,-125.0,105.0,1.8,2.05,0
2011-10-15,2011-12,SJS,STL,2,4,-160.0,140.0,1.625,2.4,0
2011-10-15,2011-12,EDM,VAN,3,4,135.0,-155.0,2.35,1.645,0
2011-10-15,2011-12,CHI,BOS,2,3,-135.0,115.0,1.741,2.15,0
2011-10-15,2011-12,DAL,CBJ,4,2,-140.0,120.0,1.714,2.2,1
2011-10-15,2011-12,MIN,DET,2,3,130.0,-150.0,2.3,1.667,0
2011-10-15,2011-12,FLA,TBL,3,2,100.0,-120.0,2.0,1.833,1
2011-10-15,2011-12,MTL,COL,5,6,-140.0,120.0,1.714,2.2,0
2011-10-15,2011-12,ARI,WPG,4,1,-145.0,125.0,1.69,2.25,1
2011-10-15,2011-12,PIT,BUF,2,3,-125.0,105.0,1.8,2.05,0
2011-10-15,2011-12,PHI,LAK,2,3,-125.0,105.0,1.8,2.05,0
2011-10-15,2011-12,NYI,NYR,4,2,-105.0,-115.0,1.952,1.87,1
2011-10-15,2011-12,WSH,OTT,2,1,-250.0,210.0,1.4,3.1,1
2011-10-15,2011-12,TOR,CGY,3,2,-125.0,105.0,1.8,2.05,1
2011-10-16,2011-12,ANA,STL,4,2,-135.0,115.0,1.741,2.15,1
2011-10-17,2011-12,TOR,COL,2,3,-135.0,115.0,1.741,2.15,0
2011-10-17,2011-12,TBL,FLA,4,7,-160.0,140.0,1.625,2.4,0
2011-10-17,2011-12,WPG,PIT,2,1,125.0,-145.0,2.25,1.69,1
2011-10-17,2011-12,EDM,NSH,3,1,110.0,-130.0,2.1,1.769,1
2011-10-17,2011-12,SJS,ANA,2,3,-190.0,170.0,1.526,2.7,0
2011-10-18,2011-12,ARI,CHI,2,5,115.0,-135.0,2.15,1.741,0
2011-10-18,2011-12,VAN,NYR,0,4,-185.0,165.0,1.541,2.65,0
2011-10-18,2011-12,CGY,EDM,2,1,-180.0,160.0,1.556,2.6,1
2011-10-18,2011-12,MIN,PIT,2,4,-130.0,110.0,1.769,2.1,0
2011-10-18,2011-12,LAK,STL,5,0,-145.0,125.0,1.69,2.25,1
2011-10-18,2011-12,MTL,BUF,1,3,110.0,-130.0,2.1,1.769,0
2011-10-18,2011-12,CBJ,DAL,2,3,100.0,-120.0,2.0,1.833,0
2011-10-18,2011-12,WSH,FLA,3,0,-250.0,210.0,1.4,3.1,1
2011-10-18,2011-12,BOS,CAR,1,4,-160.0,140.0,1.625,2.4,0
2011-10-18,2011-12,OTT,PHI,2,7,145.0,-165.0,2.45,1.606,0
2011-10-19,2011-12,TOR,WPG,4,3,-175.0,155.0,1.571,2.55,1
2011-10-20,2011-12,ARI,LAK,0,2,110.0,-130.0,2.1,1.769,0
2011-10-20,2011-12,VAN,NSH,5,1,-180.0,160.0,1.556,2.6,1
