date,season,home_team,away_team,home_score,away_score,home_moneyline,away_moneyline,home_odds,away_odds,home_win
2013-10-01,2013-14,MTL,TOR,3,4,-135.0,115.0,1.741,2.15,0
2013-10-01,2013-14,CHI,WSH,6,4,-175.0,155.0,1.571,2.55,1
2013-10-01,2013-14,EDM,WPG,4,5,-140.0,120.0,1.714,2.2,0
2013-10-02,2013-14,COL,ANA,6,1,-125.0,105.0,1.8,2.05,1
2013-10-02,2013-14,PHI,TOR,1,3,-145.0,125.0,1.69,2.25,0
2013-10-02,2013-14,DET,BUF,2,1,-210.0,180.0,1.476,2.8,1
2013-10-03,2013-14,WSH,CGY,5,4,-250.0,210.0,1.4,3.1,1
2013-10-03,2013-14,PIT,NJD,3,0,-190.0,170.0,1.526,2.7,1
2013-10-03,2013-14,BOS,TBL,3,1,-210.0,180.0,1.476,2.8,1
2013-10-03,2013-14,STL,NSH,4,2,-200.0,170.0,1.5,2.7,1
2013-10-03,2013-14,MIN,LAK,2,3,-105.0,-115.0,1.952,1.87,0
2013-10-03,2013-14,DAL,FLA,2,4,-155.0,135.0,1.645,2.35,0
2013-10-03,2013-14,ARI,NYR,4,1,-130.0,110.0,1.769,2.1,1
2013-10-03,2013-14,SJS,VAN,4,1,-145.0,125.0,1.69,2.25,1
2013-10-04,2013-14,WPG,LAK,5,3,-125.0,105.0,1.8,2.05,1
2013-10-04,2013-14,COL,NSH,3,1,-150.0,130.0,1.667,2.3,1
2013-10-04,2013-14,CAR,DET,2,3,105.0,-125.0,2.05,1.8,0
2013-10-04,2013-14,NJD,NYI,3,4,-110.0,-110.0,1.909,1.909,0
2013-10-04,2013-14,CBJ,CGY,3,4,-205.0,175.0,1.488,2.75,0
2013-10-04,2013-14,BUF,OTT,0,1,120.0,-140.0,2.2,1.714,0
2013-10-05,2013-14,SJS,ARI,4,1,-155.0,135.0,1.645,2.35,1
2013-10-05,2013-14,VAN,EDM,6,2,-150.0,130.0,1.667,2.3,1
2013-10-05,2013-14,DAL,WSH,2,1,100.0,-120.0,2.0,1.833,1
2013-10-05,2013-14,STL,FLA,7,0,-210.0,180.0,1.476,2.8,1
2013-10-05,2013-14,CHI,TBL,2,3,-230.0,190.0,1.435,2.9,0
