date,season,away_team,home_team,away_score,home_score,away_moneyline,home_moneyline,away_odds,home_odds,home_win
2019-10-02,2019-20,OTT,TOR,3,5,270,-310,3.7,1.323,1
2019-10-02,2019-20,WSH,STL,3,2,135,-150,2.35,1.667,0
2019-10-02,2019-20,VAN,EDM,2,3,116,-126,2.16,1.794,1
2019-10-02,2019-20,SJS,VGK,1,4,170,-190,2.7,1.526,1
2019-10-03,2019-20,FLA,TBL,2,5,157,-175,2.57,1.571,1
2019-10-03,2019-20,MTL,CAR,3,4,140,-155,2.4,1.645,1
2019-10-03,2019-20,WPG,NYR,4,6,102,-112,2.02,1.893,1
2019-10-03,2019-20,BUF,PIT,3,1,165,-185,2.65,1.541,0
2019-10-03,2019-20,MIN,NSH,2,5,150,-165,2.5,1.606,1
2019-10-03,2019-20,BOS,DAL,2,1,-105,-105,1.952,1.952,0
2019-10-03,2019-20,CGY,COL,3,5,110,-120,2.1,1.833,1
2019-10-03,2019-20,ARI,ANA,1,2,-102,-108,1.98,1.926,1
2019-10-04,2019-20,CHI,PHI,3,4,107,-117,2.07,1.855,1
2019-10-04,2019-20,TOR,CBJ,4,1,-150,135,1.667,2.35,0
2019-10-04,2019-20,WSH,NYI,2,1,110,-120,2.1,1.833,0
2019-10-04,2019-20,WPG,NJD,5,4,132,-145,2.32,1.69,0
2019-10-04,2019-20,VGK,SJS,5,1,-120,110,1.833,2.1,0
2019-10-05,2019-20,NYR,OTT,4,1,-128,118,1.781,2.18,0
2019-10-05,2019-20,NJD,BUF,2,7,105,-115,2.05,1.87,1
2019-10-05,2019-20,TBL,FLA,3,4,-125,115,1.8,2.15,1
2019-10-05,2019-20,CAR,WSH,3,2,105,-115,2.05,1.87,0
2019-10-05,2019-20,MTL,TOR,6,5,140,-155,2.4,1.645,0
2019-10-05,2019-20,CBJ,PIT,2,7,160,-180,2.6,1.556,1
2019-10-05,2019-20,DET,NSH,5,3,220,-250,3.2,1.4,0
2019-10-05,2019-20,DAL,STL,2,3,128,-138,2.28,1.725,1
2019-10-05,2019-20,MIN,COL,2,4,135,-150,2.35,1.667,1
2019-10-05,2019-20,BOS,ARI,1,0,-136,126,1.735,2.26,0
2019-10-05,2019-20,LAK,EDM,5,6,132,-145,2.32,1.69,1
2019-10-05,2019-20,SJS,ANA,1,3,105,-115,2.05,1.87,1
2019-10-05,2019-20,VAN,CGY,0,3,185,-205,2.85,1.488,1
2019-10-06,2019-20,TBL,CAR,3,4,-120,110,1.833,2.1,1
2019-10-06,2019-20,WPG,NYI,1,4,128,-138,2.28,1.725,1
2019-10-06,2019-20,DAL,DET,3,4,-160,145,1.625,2.45,1
2019-10-07,2019-20,STL,TOR,3,2,125,-135,2.25,1.741,0
2019-10-07,2019-20,BUF,CBJ,3,4,105,-115,2.05,1.87,1
2019-10-08,2019-20,WPG,PIT,4,1,145,-160,2.45,1.625,0
2019-10-08,2019-20,DAL,WSH,4,3,132,-145,2.32,1.69,0
2019-10-08,2019-20,EDM,NYI,5,2,145,-160,2.45,1.625,0
2019-10-08,2019-20,CAR,FLA,6,3,115,-125,2.15,1.8,0
2019-10-08,2019-20,ANA,DET,3,1,-110,100,1.909,2.0,0
2019-10-08,2019-20,SJS,NSH,2,5,150,-165,2.5,1.606,1
2019-10-08,2019-20,LAK,CGY,4,3,205,-230,3.05,1.435,0
2019-10-08,2019-20,BOS,VGK,4,3,125,-135,2.25,1.741,0
2019-10-09,2019-20,MTL,BUF,4,5,-101,-109,1.99,1.917,1
2019-10-09,2019-20,NJD,PHI,0,4,112,-122,2.12,1.82,1
2019-10-09,2019-20,LAK,VAN,2,8,140,-155,2.4,1.645,1
2019-10-10,2019-20,DET,MTL,4,2,180,-200,2.8,1.5,0
2019-10-10,2019-20,EDM,NJD,4,3,112,-122,2.12,1.82,0
2019-10-10,2019-20,TBL,TOR,7,3,100,-110,2.0,1.909,0
2019-10-10,2019-20,ANA,PIT,1,2,130,-140,2.3,1.714,1
2019-10-10,2019-20,STL,OTT,6,4,-190,170,1.526,2.7,0
2019-10-10,2019-20,WSH,NSH,5,6,120,-130,2.2,1.769,1
2019-10-10,2019-20,MIN,WPG,2,5,102,-112,2.02,1.893,1
2019-10-10,2019-20,SJS,CHI,5,4,-110,100,1.909,2.0,0
2019-10-10,2019-20,CGY,DAL,3,2,100,-110,2.0,1.909,0
2019-10-10,2019-20,BOS,COL,2,4,100,-110,2.0,1.909,1
2019-10-10,2019-20,VGK,ARI,1,4,-120,110,1.833,2.1,1
2019-10-11,2019-20,ANA,CBJ,2,1,130,-140,2.3,1.714,0
2019-10-11,2019-20,FLA,BUF,2,3,-132,122,1.758,2.22,1
2019-10-11,2019-20,NYI,CAR,2,5,155,-170,2.55,1.588,1
2019-10-12,2019-20,EDM,NYR,4,1,110,-120,2.1,1.833,0
2019-10-12,2019-20,TBL,OTT,2,4,-260,230,1.385,3.3,1
2019-10-12,2019-20,NSH,LAK,4,7,-165,150,1.606,2.5,1
2019-10-12,2019-20,NJD,BOS,0,3,190,-210,2.9,1.476,1
2019-10-12,2019-20,STL,MTL,3,6,-115,105,1.87,2.05,1
2019-10-12,2019-20,TOR,DET,5,2,-190,170,1.526,2.7,0
2019-10-12,2019-20,FLA,NYI,2,3,105,-115,2.05,1.87,1
2019-10-12,2019-20,CBJ,CAR,3,2,180,-200,2.8,1.5,0
2019-10-12,2019-20,WPG,CHI,3,2,120,-130,2.2,1.769,0
2019-10-12,2019-20,PIT,MIN,7,4,110,-120,2.1,1.833,0
2019-10-12,2019-20,WSH,DAL,4,1,105,-115,2.05,1.87,0
2019-10-12,2019-20,ARI,COL,2,3,132,-145,2.32,1.69,1
2019-10-12,2019-20,PHI,VAN,2,3,100,-110,2.0,1.909,1
2019-10-12,2019-20,CGY,VGK,2,6,140,-155,2.4,1.645,1
2019-10-13,2019-20,PIT,WPG,7,2,105,-115,2.05,1.87,0
2019-10-13,2019-20,CGY,SJS,1,3,115,-125,2.15,1.8,1
2019-10-13,2019-20,VGK,LAK,5,2,-155,140,1.645,2.4,0
2019-10-14,2019-20,FLA,NJD,6,4,-108,-102,1.926,1.98,0
2019-10-14,2019-20,STL,NYI,2,3,-130,120,1.769,2.2,1
2019-10-14,2019-20,MIN,OTT,2,0,-124,114,1.806,2.14,0
2019-10-14,2019-20,ANA,BOS,2,4,190,-210,2.9,1.476,1
2019-10-14,2019-20,DAL,BUF,0,4,-110,100,1.909,2.0,1
2019-10-14,2019-20,COL,WSH,6,3,125,-135,2.25,1.741,0
2019-10-14,2019-20,EDM,CHI,1,3,100,-110,2.0,1.909,1
2019-10-15,2019-20,MIN,TOR,2,4,205,-230,3.05,1.435,1
2019-10-15,2019-20,TBL,MTL,3,1,-135,125,1.741,2.25,0
2019-10-15,2019-20,ARI,WPG,4,2,110,-120,2.1,1.833,0
2019-10-15,2019-20,PHI,CGY,1,3,132,-145,2.32,1.69,1
2019-10-15,2019-20,NSH,VGK,5,2,125,-135,2.25,1.741,0
2019-10-15,2019-20,DET,VAN,1,5,135,-150,2.35,1.667,1
2019-10-15,2019-20,CAR,LAK,2,0,-160,145,1.625,2.45,0
2019-10-16,2019-20,TOR,WSH,3,4,115,-125,2.15,1.8,1
2019-10-16,2019-20,COL,PIT,2,3,-103,-107,1.971,1.935,1
2019-10-16,2019-20,DAL,CBJ,2,3,-110,100,1.909,2.0,1
2019-10-16,2019-20,PHI,EDM,3,6,118,-128,2.18,1.781,1
2019-10-16,2019-20,BUF,ANA,2,5,115,-125,2.15,1.8,1
2019-10-16,2019-20,CAR,SJS,2,5,120,-130,2.2,1.769,1
2019-10-17,2019-20,NYR,NJD,2,5,109,-119,2.09,1.84,1
2019-10-17,2019-20,TBL,BOS,4,3,100,-110,2.0,1.909,0
2019-10-17,2019-20,MIN,MTL,0,4,145,-160,2.45,1.625,1
2019-10-17,2019-20,NYI,WPG,3,1,116,-126,2.16,1.794,0
2019-10-17,2019-20,VAN,STL,4,3,170,-190,2.7,1.526,0
2019-10-17,2019-20,DET,CGY,1,5,205,-230,3.05,1.435,1
2019-10-17,2019-20,OTT,VGK,2,3,285,-330,3.85,1.303,1
2019-10-17,2019-20,NSH,ARI,2,5,-107,-103,1.935,1.971,1
2019-10-17,2019-20,BUF,LAK,3,0,108,-118,2.08,1.847,0
2019-10-18,2019-20,COL,FLA,5,4,118,-128,2.18,1.781,0
2019-10-18,2019-20,DAL,PIT,2,4,128,-138,2.28,1.725,1
2019-10-18,2019-20,NYR,WSH,2,5,200,-220,3.0,1.455,1
2019-10-18,2019-20,CBJ,CHI,2,3,125,-135,2.25,1.741,1
