date,a__team,h__team,a__goals_p1,a__goals_p2,a__goals_p3,a__goals_ot,a__goals_total,h__goals_p1,h__goals_p2,h__goals_p3,h__goals_ot,h__goals_total,moneyline,fav,over_under
2021-10-12,PIT,TB,0,2,4,0,6,0,0,2,0,2,-280,Home,5.5
2021-10-12,SEA,VGK,0,2,1,0,3,2,1,1,0,4,-240,Home,5.5
2021-10-13,MTL,TOR,1,0,0,0,1,1,0,1,0,2,-200,Home,6
2021-10-13,NYR,WAS,0,0,1,0,1,1,2,2,0,5,0,Even,6
2021-10-13,CHI,COL,1,0,1,0,2,3,1,0,0,4,-190,Home,6
2021-10-13,VAN,EDM,0,0,2,0,2,1,1,0,1,3,-200,Home,6.5
2021-10-13,WPG,ANA,0,1,0,0,1,2,1,1,0,4,-145,Away,5.5
2021-10-14,ARI,CBJ,0,1,1,0,2,2,3,3,0,8,-160,Home,5.5
2021-10-14,DAL,NYR,1,1,0,1,3,0,2,0,0,2,-135,Home,6
2021-10-14,MTL,BUF,0,1,0,0,1,2,2,1,0,5,-145,Away,5.5
2021-10-14,NYI,CAR,1,2,0,0,3,2,2,2,0,6,-130,Home,5.5
2021-10-14,PIT,FLA,0,2,2,0,4,1,1,2,1,5,-180,Home,6.5
2021-10-14,TOR,OTT,0,0,2,0,2,3,0,0,0,3,-175,Away,6.5
2021-10-14,TB,DET,0,3,3,1,7,1,3,2,0,6,-220,Away,5.5
2021-10-14,SEA,NSH,2,1,1,0,4,1,1,1,0,3,-130,Home,5.5
2021-10-14,VGK,LA,1,0,1,0,2,2,3,1,0,6,-160,Away,5.5
2021-10-15,CHI,NJ,0,1,2,0,3,1,1,1,1,4,-135,Home,6
2021-10-15,VAN,PHI,0,4,0,1,5,1,1,2,0,4,-140,Home,6
2021-10-15,MIN,ANA,0,1,1,0,2,0,1,0,0,1,-175,Away,5.5
2021-10-16,ARI,BUF,1,0,0,0,1,0,1,0,1,2,-125,Home,5.5
2021-10-16,NYI,FLA,0,0,1,0,1,1,2,2,0,5,-140,Home,5.5
2021-10-16,CHI,PIT,0,1,1,0,2,4,1,0,0,5,-135,Home,6
2021-10-16,DAL,BOS,0,1,0,0,1,1,0,2,0,3,-180,Home,5.5
2021-10-16,NYR,MTL,0,1,2,0,3,0,0,1,0,1,0,Even,6
2021-10-16,OTT,TOR,0,1,0,0,1,2,0,1,0,3,-280,Home,6
2021-10-16,SEA,CBJ,0,1,0,0,1,0,0,1,1,2,-115,Away,5.5
2021-10-16,TB,WAS,0,0,1,1,2,0,1,0,0,1,-125,Away,6.5
2021-10-16,VAN,DET,0,1,0,0,1,1,1,1,0,3,-125,Away,5.5
2021-10-16,CAR,NSH,1,0,2,0,3,0,1,1,0,2,-115,Away,5.5
2021-10-16,STL,COL,1,2,2,0,5,0,1,2,0,3,-150,Home,5.5
2021-10-16,CGY,EDM,0,1,1,0,2,2,1,2,0,5,-160,Home,6
2021-10-16,WPG,SJ,1,1,1,0,3,0,2,2,0,4,-140,Away,6.5
2021-10-16,MIN,LA,0,3,0,0,3,0,1,1,0,2,-120,Away,6
2021-10-17,DAL,OTT,1,0,1,0,2,1,2,0,0,3,-140,Away,5.5
